id,user,lat,long,tags,title,date_taken_minute,date_taken_hour,date_taken_day,date_taken_month,date_taken_year,date_upload_minute,date_upload_hour,date_upload_day,date_upload_month,date_upload_year
4556801705,40936370@N00,45.837545,4.82613,"portrait,sculpture,streetart,stencils,france,art,mystery,museum,architecture,painting,graffiti,ruins,rawart,outsiderart,chaos,symbol,time,goin,contemporaryart,secret,911,apocalypse,taz,brain,peinture,container,freemasonry,mind,artbrut,temps,ddc,sanctuary,cyberpunk,landart,spraycan,2012,alchemy,modernsculpture,prophecy,999,vanitas,revelation,pochoirs,sanctuaire,dadaisme,artprice,salamanderspirit,organmuseum,saintromainaumontdor,2052,demeureduchaos,thierryehrmann,alchimie,artsingulier,prophétie,abodeofchaos,facteurcheval,palaisideal,postapocalyptique,maisondartiste,artistshouses,actingperformance,sculpturemoderne,francmaconnerie,groupeserveur,lespritdelasalamandre,servergroup,cathédraledelaconsommation","""Son of a gun"" les dernières folies de Goin sur la décadence de l'Occident...",53,19,25,4,2010,49,10,27,4,2010
4557431332,40936370@N00,45.837545,4.82613,"portrait,sculpture,streetart,stencils,france,art,mystery,museum,architecture,painting,graffiti,ruins,rawart,outsiderart,chaos,symbol,time,goin,contemporaryart,secret,911,apocalypse,taz,brain,peinture,container,freemasonry,mind,artbrut,temps,ddc,sanctuary,cyberpunk,landart,spraycan,2012,alchemy,modernsculpture,prophecy,999,vanitas,revelation,pochoirs,sanctuaire,dadaisme,artprice,salamanderspirit,organmuseum,saintromainaumontdor,2052,demeureduchaos,thierryehrmann,alchimie,artsingulier,prophétie,abodeofchaos,facteurcheval,palaisideal,postapocalyptique,maisondartiste,artistshouses,actingperformance,sculpturemoderne,francmaconnerie,groupeserveur,lespritdelasalamandre,servergroup,cathédraledelaconsommation","""Son of a gun"" les dernières folies de Goin sur la décadence de l'Occident...",52,19,25,4,2010,49,10,27,4,2010
4556801535,40936370@N00,45.837545,4.82613,"portrait,sculpture,streetart,stencils,france,art,mystery,museum,architecture,painting,graffiti,ruins,rawart,outsiderart,chaos,symbol,time,goin,contemporaryart,secret,911,apocalypse,taz,brain,peinture,container,freemasonry,mind,artbrut,temps,ddc,sanctuary,cyberpunk,landart,spraycan,2012,alchemy,modernsculpture,prophecy,999,vanitas,revelation,pochoirs,sanctuaire,dadaisme,artprice,salamanderspirit,organmuseum,saintromainaumontdor,2052,demeureduchaos,thierryehrmann,alchimie,artsingulier,prophétie,abodeofchaos,facteurcheval,palaisideal,postapocalyptique,maisondartiste,artistshouses,actingperformance,sculpturemoderne,francmaconnerie,groupeserveur,lespritdelasalamandre,servergroup,cathédraledelaconsommation","""Cathédrale de la consommation"" les dernières folies de Goin sur la décadence de l'Occident...",45,19,25,4,2010,49,10,27,4,2010
4557431202,40936370@N00,45.837545,4.82613,"portrait,sculpture,streetart,stencils,france,art,mystery,museum,architecture,painting,graffiti,ruins,rawart,outsiderart,chaos,symbol,time,goin,contemporaryart,secret,911,apocalypse,taz,brain,peinture,container,freemasonry,mind,artbrut,temps,ddc,sanctuary,cyberpunk,landart,spraycan,2012,alchemy,modernsculpture,prophecy,999,vanitas,revelation,pochoirs,sanctuaire,dadaisme,artprice,salamanderspirit,organmuseum,saintromainaumontdor,2052,demeureduchaos,thierryehrmann,alchimie,artsingulier,prophétie,abodeofchaos,facteurcheval,palaisideal,postapocalyptique,maisondartiste,artistshouses,actingperformance,sculpturemoderne,francmaconnerie,groupeserveur,lespritdelasalamandre,servergroup,cathédraledelaconsommation","""Cathédrale de la consommation"" les dernières folies de Goin sur la décadence de l'Occident...",45,19,25,4,2010,49,10,27,4,2010
4556801439,40936370@N00,45.837545,4.82613,"portrait,sculpture,streetart,stencils,france,art,mystery,museum,architecture,painting,graffiti,ruins,rawart,outsiderart,chaos,symbol,time,goin,contemporaryart,secret,911,apocalypse,taz,brain,peinture,container,freemasonry,mind,artbrut,temps,ddc,sanctuary,cyberpunk,landart,spraycan,2012,alchemy,modernsculpture,prophecy,999,vanitas,revelation,pochoirs,sanctuaire,dadaisme,artprice,salamanderspirit,organmuseum,saintromainaumontdor,2052,demeureduchaos,thierryehrmann,alchimie,artsingulier,prophétie,abodeofchaos,facteurcheval,palaisideal,postapocalyptique,maisondartiste,artistshouses,actingperformance,sculpturemoderne,francmaconnerie,groupeserveur,lespritdelasalamandre,servergroup,cathédraledelaconsommation","""Cathédrale de la consommation"" les dernières folies de Goin sur la décadence de l'Occident...",45,19,25,4,2010,49,10,27,4,2010
4557431130,40936370@N00,45.837545,4.82613,"portrait,sculpture,streetart,stencils,france,art,mystery,museum,architecture,painting,graffiti,ruins,rawart,outsiderart,chaos,symbol,time,goin,contemporaryart,secret,911,apocalypse,taz,brain,peinture,container,freemasonry,mind,artbrut,temps,ddc,sanctuary,cyberpunk,landart,spraycan,2012,alchemy,modernsculpture,prophecy,999,vanitas,revelation,pochoirs,sanctuaire,dadaisme,artprice,salamanderspirit,organmuseum,saintromainaumontdor,2052,demeureduchaos,thierryehrmann,alchimie,artsingulier,prophétie,abodeofchaos,facteurcheval,palaisideal,postapocalyptique,maisondartiste,artistshouses,actingperformance,sculpturemoderne,francmaconnerie,groupeserveur,lespritdelasalamandre,servergroup,cathédraledelaconsommation","""Cathédrale de la consommation"" les dernières folies de Goin sur la décadence de l'Occident...",45,19,25,4,2010,48,10,27,4,2010
4557431096,40936370@N00,45.837545,4.82613,"portrait,sculpture,streetart,stencils,france,art,mystery,museum,architecture,painting,graffiti,ruins,rawart,outsiderart,chaos,symbol,time,goin,contemporaryart,secret,911,apocalypse,taz,brain,peinture,container,freemasonry,mind,artbrut,temps,ddc,sanctuary,cyberpunk,landart,spraycan,2012,alchemy,modernsculpture,prophecy,999,vanitas,revelation,pochoirs,sanctuaire,dadaisme,artprice,salamanderspirit,organmuseum,saintromainaumontdor,2052,demeureduchaos,thierryehrmann,alchimie,artsingulier,prophétie,abodeofchaos,facteurcheval,palaisideal,postapocalyptique,maisondartiste,artistshouses,actingperformance,sculpturemoderne,francmaconnerie,groupeserveur,lespritdelasalamandre,servergroup,cathédraledelaconsommation","""Cathédrale de la consommation"" les dernières folies de Goin sur la décadence de l'Occident...",45,19,25,4,2010,48,10,27,4,2010
4556801321,40936370@N00,45.837545,4.82613,"portrait,sculpture,streetart,stencils,france,art,mystery,museum,architecture,painting,graffiti,ruins,rawart,outsiderart,chaos,symbol,time,goin,contemporaryart,secret,911,apocalypse,taz,brain,peinture,container,freemasonry,mind,artbrut,temps,ddc,sanctuary,cyberpunk,landart,spraycan,2012,alchemy,modernsculpture,prophecy,999,vanitas,revelation,pochoirs,sanctuaire,dadaisme,artprice,salamanderspirit,organmuseum,saintromainaumontdor,2052,demeureduchaos,thierryehrmann,alchimie,artsingulier,prophétie,abodeofchaos,facteurcheval,palaisideal,postapocalyptique,maisondartiste,artistshouses,actingperformance,sculpturemoderne,francmaconnerie,groupeserveur,lespritdelasalamandre,servergroup,cathédraledelaconsommation","""Cathédrale de la consommation"" les dernières folies de Goin sur la décadence de l'Occident...",44,19,25,4,2010,48,10,27,4,2010
4556801291,40936370@N00,45.837545,4.82613,"portrait,sculpture,streetart,stencils,france,art,mystery,museum,architecture,painting,graffiti,ruins,rawart,outsiderart,chaos,symbol,time,goin,contemporaryart,secret,911,apocalypse,taz,brain,peinture,container,freemasonry,mind,artbrut,temps,ddc,sanctuary,cyberpunk,landart,spraycan,2012,alchemy,modernsculpture,prophecy,999,vanitas,revelation,pochoirs,sanctuaire,dadaisme,artprice,salamanderspirit,organmuseum,saintromainaumontdor,2052,demeureduchaos,thierryehrmann,alchimie,artsingulier,prophétie,abodeofchaos,facteurcheval,palaisideal,postapocalyptique,maisondartiste,artistshouses,actingperformance,sculpturemoderne,francmaconnerie,groupeserveur,lespritdelasalamandre,servergroup,cathédraledelaconsommation","""Cathédrale de la consommation"" les dernières folies de Goin sur la décadence de l'Occident...",44,19,25,4,2010,48,10,27,4,2010
4556801241,40936370@N00,45.837545,4.82613,"portrait,sculpture,streetart,stencils,france,art,mystery,museum,architecture,painting,graffiti,ruins,rawart,outsiderart,chaos,symbol,time,goin,contemporaryart,secret,911,apocalypse,taz,brain,peinture,container,freemasonry,mind,artbrut,temps,ddc,sanctuary,cyberpunk,landart,spraycan,2012,alchemy,modernsculpture,prophecy,999,vanitas,revelation,pochoirs,sanctuaire,dadaisme,artprice,salamanderspirit,organmuseum,saintromainaumontdor,2052,demeureduchaos,thierryehrmann,alchimie,artsingulier,prophétie,abodeofchaos,facteurcheval,palaisideal,postapocalyptique,maisondartiste,artistshouses,actingperformance,sculpturemoderne,francmaconnerie,groupeserveur,lespritdelasalamandre,servergroup,cathédraledelaconsommation","""Cathédrale de la consommation"" les dernières folies de Goin sur la décadence de l'Occident...",44,19,25,4,2010,48,10,27,4,2010
